county,pop2010all,pop2014all,pop2017all,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count,pop2010_50_and_over,pop2014_50_and_over,pop2017_50_and_over,percent_pop2010_50_and_over,percent_pop2014_50_and_over,percent_pop2017_50_and_over,normalized_hospice_rate
Houston,8447,8216,8213,41.9,43.1,43.5,47083,No,227.4,188.9,272.1,26,stable,0.4,-0.6,1.3,0,3306,3345,3423,39.13815556,40.71324245,41.67782783,0
Humphreys,18558,18148,18484,42,43.2,43.6,47085,No,212.3,187.3,240.1,54,stable,-0.2,-0.9,0.5,0,7222,7406,7714,38.91583145,40.80890456,41.73339104,0
Jackson,11623,11520,11677,44.8,46.4,47.6,47087,No,188.8,159.7,222.5,32,stable,-0.6,-1.8,0.6,0,4898,5176,5446,42.14058333,44.93055556,46.63869144,0
Jefferson,51705,52384,53804,41.1,42.9,43.9,47089,No,169.1,155.6,183.6,121,falling,-4,-7,-1,0,19178,20989,22457,37.09119041,40.06757789,41.73853245,0
Johnson,18288,17932,17691,43.3,44.7,46.3,47091,No,215.8,190.6,243.8,55,stable,0.1,-0.8,1.1,0,7202,7505,7787,39.38101487,41.85255409,44.01673167,0
Knox,432972,447939,461860,37.2,37.3,37.5,47093,No,177.4,172.1,182.8,890,falling,-1,-1.2,-0.8,5,140202,151718,159024,32.38130872,33.8702368,34.43121292,1.082579137
Lake,7828,7669,7468,38.2,39.1,39.7,47095,No,220.4,178.3,270.1,19,stable,-0.3,-1.4,0.8,0,2576,2586,2604,32.9075115,33.72017212,34.86877343,0
Lauderdale,27719,27360,25274,36.5,37.3,38.6,47097,No,205.6,182.9,230.5,62,falling,-0.6,-1.2,-0.1,0,8499,9053,9089,30.66127927,33.08845029,35.96185804,0
Lawrence,41967,42210,43396,39.7,40,39.7,47099,No,187.3,171.3,204.5,103,falling,-1,-1.6,-0.4,0,14868,15612,16276,35.42783616,36.98649609,37.5057609,0
Lewis,12174,11896,12035,41.3,43.2,43.9,47101,No,203.5,172.9,238.4,33,stable,-0.6,-1.2,0,0,4690,4970,5081,38.52472482,41.77874916,42.21852929,0
Lincoln,33379,33409,33751,41.8,43,43.3,47103,No,181,163.6,200,82,falling,-1,-1.6,-0.3,1,12700,13551,13987,38.04787441,40.5609267,41.44173506,2.962875174
Loudon,48702,50533,52152,46.1,47.1,48,47105,No,173.9,160.9,187.9,144,falling,-1.2,-1.7,-0.7,0,21759,23396,24824,44.67783664,46.29845843,47.59932505,0
Macon,22240,22937,24079,38.8,39,38.4,47111,No,211.5,187.3,238.1,57,stable,-0.2,-0.7,0.4,0,7470,8019,8442,33.5881295,34.96098008,35.0595955,0
Madison,98250,98064,97643,36.9,38,38.7,47113,No,171,160.3,182.4,194,falling,-1,-1.4,-0.5,2,32228,34677,35891,32.80203562,35.36160059,36.75737124,2.04827791
Marion,28220,28350,28425,42.3,42.9,43.5,47115,No,216.7,195.8,239.4,83,stable,-0.4,-1.1,0.3,0,10948,11484,11781,38.79518072,40.50793651,41.44591029,0
