county,pop2010all,pop2014all,pop2017all,pop2010_50to54,pop2014_50to54,pop2017_50to54,pop2010_55to59,pop2014_55to59,pop2017_55to59,pop2010_60to64,pop2014_60to64,pop2017_60to64,pop2010_65to69,pop2014_65to69,pop2017_65to69,pop2010_70to74,pop2014_70to74,pop2017_70to74,pop2010_75to79,pop2014_75to79,pop2017_75to79,pop2010_80to84,pop2014_80to84,pop2017_80to84,pop2010_85over,pop2014_85over,pop2017_85over,median_age_2010,median_age_2014,median_age_2017,fips,met_healthy_people_obj,age_adjust_death_rate,death_lower_95_CI,death_upper_95_CI,avg_ann_count,recent_trend,recent_5yr_trend,5yr_lower_95_CI,5yr_upper_95_CI,hospice_count
Hardin,26054,25794,25846,1983,1861,1807,1930,1948,1914,1919,1868,1867,1586,1793,1842,1193,1411,1524,904,972,1125,649,672,727,514,581,617,43.7,44.8,45.6,47071,No,190.8,171.2,212.2,74,stable,-0.1,-1,0.9,0
Hawkins,56872,56368,56459,4248,4253,4187,4092,4089,4288,4032,4047,4008,3331,3772,3845,2404,2869,3182,1650,1896,2137,1105,1194,1293,942,1044,1138,42.2,43.9,45.1,47073,No,196.7,182.6,211.7,152,stable,0.1,-0.3,0.5,0
Haywood,18812,18164,17573,1505,1347,1254,1459,1407,1329,1088,1321,1346,797,943,1137,640,680,765,494,516,522,356,359,354,321,374,406,39.3,40.4,41.7,47075,No,187.8,162.8,215.7,43,falling,-1,-1.9,-0.1,0
Henderson,27789,27987,27751,1988,2081,1994,1825,1893,1964,1806,1733,1827,1397,1636,1685,987,1194,1341,782,806,884,533,602,576,433,479,560,39.8,40.5,41.2,47077,No,207,185.7,230.2,72,stable,-0.4,-1,0.3,0
Henry,32402,32246,32450,2450,2361,2269,2374,2377,2462,2389,2370,2356,2080,2255,2356,1605,1797,1999,1182,1265,1362,796,865,898,720,733,763,44.4,45,45.6,47079,No,200,182.3,219.2,99,stable,-0.4,-1,0.1,1
Hickman,24647,24431,24864,1920,1885,1865,1732,1728,1846,1471,1570,1593,1157,1339,1430,907,984,1139,605,733,788,433,454,493,350,381,409,40.1,41,41.3,47081,No,201,178.4,225.9,60,stable,-0.4,-1.3,0.4,0
Houston,8447,8216,8213,604,574,555,626,588,621,563,580,572,496,531,546,375,418,427,279,287,329,200,193,184,163,174,189,41.9,43.1,43.5,47083,No,227.4,188.9,272.1,26,stable,0.4,-0.6,1.3,0
Humphreys,18558,18148,18484,1378,1331,1331,1369,1370,1358,1264,1226,1384,1081,1140,1129,804,918,985,578,651,707,430,413,435,318,357,385,42,43.2,43.6,47085,No,212.3,187.3,240.1,54,stable,-0.2,-0.9,0.5,0
Jackson,11623,11520,11677,1015,856,854,898,1005,998,912,876,1015,751,861,867,521,660,698,365,424,477,244,265,303,192,229,234,44.8,46.4,47.6,47087,No,188.8,159.7,222.5,32,stable,-0.6,-1.8,0.6,0
Jefferson,51705,52384,53804,3714,3978,4041,3378,3718,4078,3526,3461,3793,3057,3350,3423,2246,2709,2916,1528,1755,2043,955,1117,1204,774,901,959,41.1,42.9,43.9,47089,No,169.1,155.6,183.6,121,falling,-4,-7,-1,0
Johnson,18288,17932,17691,1349,1278,1270,1244,1267,1185,1348,1266,1359,1146,1312,1264,829,967,1094,566,650,756,373,393,445,347,372,414,43.3,44.7,46.3,47091,No,215.8,190.6,243.8,55,stable,0.1,-0.8,1.1,0
Knox,432972,447939,461860,30819,31248,29955,28163,29577,29921,24479,26207,27938,17742,21948,23941,13150,15621,18457,10298,11114,12185,8135,7914,8187,7416,8089,8440,37.2,37.3,37.5,47093,No,177.4,172.1,182.8,890,falling,-1,-1.2,-0.8,5
Lake,7828,7669,7468,577,511,520,487,524,469,433,425,447,360,384,392,248,264,267,217,208,212,123,148,155,131,122,142,38.2,39.1,39.7,47095,No,220.4,178.3,270.1,19,stable,-0.3,-1.4,0.8,0
Lauderdale,27719,27360,25274,1898,1959,1775,1707,1768,1729,1479,1533,1606,1188,1335,1336,845,1010,1086,584,645,736,404,411,458,394,392,363,36.5,37.3,38.6,47097,No,205.6,182.9,230.5,62,falling,-0.6,-1.2,-0.1,0
Lawrence,41967,42210,43396,2891,2946,2981,2695,2798,2959,2536,2548,2686,2102,2325,2362,1666,1859,2032,1298,1354,1444,877,953,953,803,829,859,39.7,40,39.7,47099,No,187.3,171.3,204.5,103,falling,-1,-1.6,-0.4,0
Lewis,12174,11896,12035,946,887,775,908,958,897,845,867,923,665,769,815,470,563,651,370,376,421,259,295,287,227,255,312,41.3,43.2,43.9,47101,No,203.5,172.9,238.4,33,stable,-0.6,-1.2,0,0
Lincoln,33379,33409,33751,2661,2615,2396,2375,2611,2670,2131,2218,2438,1747,1980,2101,1412,1550,1644,1042,1183,1213,717,754,863,615,640,662,41.8,43,43.3,47103,No,181,163.6,200,82,falling,-1,-1.6,-0.3,1
Loudon,48702,50533,52152,3568,3467,3352,3537,3806,3833,4139,3783,4118,3666,4159,4222,2800,3410,3844,1859,2269,2651,1098,1348,1485,1092,1154,1319,46.1,47.1,48,47105,No,173.9,160.9,187.9,144,falling,-1.2,-1.7,-0.7,0
McMinn,52168,52538,52877,3973,3910,3724,3647,3909,3934,3481,3444,3705,2871,3155,3258,2227,2524,2678,1627,1805,1983,1124,1151,1253,991,1085,1126,41.7,42.7,43.3,47107,No,187.4,173.3,202.5,135,stable,-0.4,-1,0.2,1
McNairy,26061,26025,26004,1868,1866,1806,1812,1839,1839,1820,1733,1768,1519,1680,1635,1142,1307,1493,834,921,1027,587,589,593,442,519,532,41.7,42.6,43.1,47109,No,205.4,184.9,227.9,76,stable,-0.2,-0.8,0.5,0
Macon,22240,22937,24079,1505,1656,1676,1473,1486,1525,1350,1374,1534,1115,1244,1295,731,908,1002,579,591,640,376,441,440,341,319,330,38.8,39,38.4,47111,No,211.5,187.3,238.1,57,stable,-0.2,-0.7,0.4,0
Madison,98250,98064,97643,7223,7048,6514,6478,6893,6814,5530,6087,6390,4038,4890,5547,3055,3540,4035,2331,2495,2782,1877,1832,1820,1696,1892,1989,36.9,38,38.7,47113,No,171,160.3,182.4,194,falling,-1,-1.4,-0.5,2
Marion,28220,28350,28425,2220,2134,2004,2144,2193,2101,2080,2023,2120,1585,1811,1891,1116,1357,1484,846,874,1029,548,622,644,409,470,508,42.3,42.9,43.5,47115,No,216.7,195.8,239.4,83,stable,-0.4,-1.1,0.3,0
Marshall,30681,31250,32931,2257,2331,2339,2183,2209,2304,1898,2046,2183,1428,1712,1797,922,1222,1465,698,747,892,529,555,530,474,523,544,39,40.1,39.9,47117,No,204.8,184,227.3,75,stable,-0.4,-1,0.3,0
Maury,81174,85345,92163,6545,6027,5917,5793,6435,6607,4928,5556,6305,3414,4503,5095,2500,3088,3685,1945,2179,2477,1473,1502,1495,1237,1437,1536,38.4,38.9,38.7,47119,No,181.1,169.1,193.7,178,falling,-1,-1.6,-0.5,0
Meigs,11794,11699,12068,890,914,916,884,845,879,958,883,866,772,899,867,467,662,764,320,336,442,202,227,248,156,167,180,43,44.6,44.7,47121,No,214.3,181.7,251.5,34,stable,0.5,-0.8,1.9,0
